RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
46,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 046",46,2,4,7,4,-45,TY,SQUARE YLW UNB,GUN FAR,OPTION FLOP HAWK,,FLOP,NKL WHACK PLAY IT,R,1,3,,H,,,,PISTOL,,,SHIFT,HAWK,3,,,,NKL,,,WHACK,,ZP,,,,,,,RUTG
47,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 047",47,3,3,7,5,-46,TY,TRIPLES GUN,NEAR,QB BOUNCE WEAK,,,NKL OVER 1,R,4,3,,,,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,RUTG
48,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 048",48,1,10,7,6,50,TY,TRIPS SPREAD GUN,FAR,COUNTER OH WEAK,,,NKL WHACK PLAY IT,R,7,3,,,,,,,Y-IN,,,,,,,,NKL,,,WHACK,,,,,,,,,RUTG
49,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 049",49,2,3,7,7,43,TY,TRIPLES GUN,NEAR,QB BOUNCE STRONG,,,NKL UNDER 10,R,-3,3,,,,,,,,,,,,,,,NKL,UNDER,,,10,,,,,,,,RUTG
50,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 050",50,3,6,7,8,46,TY,TRIPS SPREAD GUN,NEAR,QB COUNTER O WEAK,,,NKL POLAR MASS PEEL,R,5,3,,,,,,,H-FLY,,,,,,,,NKL,,,,,,,,,,,,RUTG
51,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 051",51,4,1,7,9,41,DC,SQUARE UNB,GUN NEAR,OPTION FLOW,,FLOW,UNDER SNEAK 10,R,-5,3,,H,,,,PISTOL,U-IG,,SHIFT,,3,,,,BASE,,SNEAK,,10,MF,,,,,,,RUTG
52,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 052",52,1,10,8,1,-14,TY,TREY GUN,NEAR,,SEAM COMEBACK,,NKL UNDER 10,P,16,3,,,C,,,,,,,,,,,,NKL,UNDER,,,10,,,,,,,,RUTG
53,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 053",53,1,10,8,2,-30,TY,TRIPS GUN,NEAR,COUNTER CY WK,,,NKL OVER PIRATE 2,R,7,3,,,,,,,,Y-OFF,,,,,,,NKL,OVER,,,2,,,,,,,,RUTG
54,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 054",54,2,3,8,3,-37,TY,TREY GUN,NEAR,,2 MAN ROUTE,,NKL UNDER 10,P,38,3,,,C,,,,Z-JET,Y-OFF,,,,,,,NKL,UNDER,,,10,,,,,,,,RUTG
55,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 055",55,1,10,8,4,25,TY,SQUARE UNB,GUN NEAR,OPTION FLOW,,FLOW,NKL OVER 1,R,6,3,,H,,,,,,Y-OFF,,,3,,,,NKL,OVER,,,1,MF,NKL OVER PIRATE 2,,,,,,RUTG
56,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 056",56,2,4,8,5,19,TY,SQUARE UNB,GUN NEAR,OPTION FLOW,,FLOW,NKL DART PLAY IT,R,-2,3,,H,,,,,,Y-OFF,,,3,,,,NKL,,,DART,,,,,,,,,RUTG
57,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 057",57,3,6,8,6,21,TY,TRIPS SPREAD GUN,NEAR,,FLARE SCREEN RB,,NKL GREEN PRESS 3,P,18,3,,,C,,,,H-FLY,,,,,,,,NKL,GREEN,,,,,,,,,,,RUTG
58,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 058",58,1,3,8,7,3,TY,TRIPLES GUN,NEAR,,JUMP PASS,,NKL OVER T-1,P,3,4,,,C,,,,,,,,,,,,NKL,OVER,,,1-T,,,,,,,,RUTG
59,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 059",59,1,10,9,1,-42,TY,TREY GUN,NEAR,QB SCRAMBLE,,,NKL UNDER PIRATE 5,R,9,4,,,,,,,,Y-OFF,,,,,,,NKL,UNDER,,,5,,,,,,,,RUTG
60,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 060",60,2,1,9,2,49,TY,SQUARE YLW UNB,GUN FAR,OPTION FLOP HAWK,,FLOP,NKL OVER CLOUD 1,R,2,4,,H,,,,PISTOL,Y-IG,,SHIFT,HAWK,1,,,,NKL,OVER,,,1 CLOUD,,,,,,,,RUTG
61,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 061",61,1,10,9,3,47,TY,SQUARE YLW UNB,GUN NEAR,OPTION FLOP HAWK AV,,FLOP,NKL CLOUD DART PLAY IT,R,2,4,,Q,,,,PISTOL,,,SHIFT,HAWK AVOID,1,,,,NKL,,,DART,,ZP,,,,,,,RUTG
62,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 062",62,2,8,9,4,45,TY,TRIPS GUN,NEAR,,SEAMS,,NKL OVER CLOUD 1,P,0,4,,,I,,,,,Y-OFF,,,,,,,NKL,OVER,,,1 CLOUD,,,,,,,,RUTG
63,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 063",63,3,8,9,5,45,TY,EMPTY SQUARE UNB GUN,,QB DRAW,,,NKL WOLF,R,10,4,,,,,,,H-FLY,,,,,,,,NKL,,,WOLF,,,,,,,,,RUTG
64,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 064",64,1,10,9,6,35,TY,TREY GUN,FAR,POWER,,,NKL DART PLAY IT,R,4,4,,,,,,,Y-IN,,,,,,,,NKL,,,,,,,,,,,,RUTG
65,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 065",65,2,6,9,7,31,TY,TRIPS YLW GUN,NEAR,BELLY STR HAWK,,,NKL UNDER 10,R,5,4,,,,,,,,,,HAWK,,,,,NKL,UNDER,,,10,,,,,,,,RUTG
66,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 066",66,3,1,9,8,26,TY,TREY GUN,FAR,BELLY STRONG,,,NKL UNDER 10 UP,R,1,4,,,,,,,,Y-OFF,,,,,,,NKL,UNDER,,,10,,,,,,,,RUTG
67,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 067",67,1,10,9,9,25,TY,TREY SPREAD GUN,FAR,,SLANTS,,NKL UNDER 10,P,78,4,,,Int,,,,,Y-OFF,,,,,,,NKL,UNDER,,,10,,,,,,,,RUTG
68,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 068",68,1,10,10,1,-22,TY,TRIPS GUN,NEAR,FALCON BELLY,,,NKL OVER PIRATE SKY 2,R,0,4,,,,,,,Y-IG,,,,,,,,NKL,OVER,,,2 SKY,,,,,,,,RUTG
69,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 069",69,1,10,11,1,-24,TY,TREY GUN,FAR,,,,NKL OVER CLOUD 3,Pen,,4,,,,,,,,Y-OFF,,,,,,,NKL,OVER,,,3 CLOUD,,,,,FS,,,RUTG
70,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 070",70,1,15,11,2,-19,TY,TREY GUN,FAR,,BULLETS,,NKL OVER CLOUD 3,P,0,4,,,C,,,,,Y-OFF,,,,,,,NKL,OVER,,,3 CLOUD,,,,,,,,RUTG
71,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 071",71,2,15,11,3,-19,TY,TRIPS GUN,FAR,,3 LEVEL,,NKL OVER STAB SKY 2,P,0,4,,,I,,,,,,,,,,,,NKL,OVER,STAB,,2 SKY,,,,,,,,RUTG
72,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 072",72,3,15,11,4,-19,TY,EMPTY GUN,,,WALSH,,NKL GREEN 2,R,2,4,,,,,,,,,,,,,,,NKL,GREEN,,,,,,,,,,,RUTG
73,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 073",73,1,10,12,1,-20,TY,EMPTY GUN,,,WALSH,,NKL GREEN CLOUD 3,P,0,4,,,I,,,,,,,,,,,,NKL,GREEN,,,,,,,,,,,RUTG
74,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 074",74,2,10,12,2,-20,TY,TREY SPREAD GUN,FAR,,SEAMS,,NKL GREEN CLOUD 3,R,4,4,,,,,,,,,,,,,,,NKL,GREEN,,,,,,,,,,,RUTG
75,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 075",75,3,6,12,3,-24,TY,TREY SPREAD GUN,FAR,,SLANTS,,NKL GREEN 2,P,7,4,,,C,,,,,,,,,,,,NKL,GREEN,,,,,,,,,,,RUTG
76,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 076",76,1,10,12,4,-31,TY,PISTOL TRIPS SPREAD GUN,DOT,,3 LEVEL,,NKL STUD 2,P,0,4,,,I,,,,,,,,,,,,NKL,OVER,STUD,,2,,,,,,,,RUTG
77,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 077",77,2,10,12,5,-31,TY,EMPTY GUN,,,FALCON OVER,,NKL STUD 2,P,18,4,,,C,,,,,,,,,,,,NKL,OVER,STUD,,2,,,,,,,,RUTG
78,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 078",78,1,10,12,6,-49,TY,TREY SPREAD GUN,FAR,,FALCON OVER,,NKL OVER 2,P,23,4,,,C,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,RUTG
79,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 079",79,1,10,12,7,28,TY,TREY SPREAD GUN,FAR,,SEAMS,,NKL OVER CLOUD 2,P,0,4,,,I,,,,,,,,,,,,NKL,OVER,,,2 CLOUD,,,,,,,,RUTG
80,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 080",80,2,10,12,8,28,TY,EMPTY GUN,,,OVER ROUTE,,NKL STUD 2,R,6,4,,,,,,,,,,,,,,,NKL,OVER,STUD,,2,,,,,,,,RUTG
81,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 081",81,3,4,12,9,22,TY,TRIPS SPREAD GUN,NEAR,,BULLETS,,NKL NOSE 2,P,0,4,,,C,,,,,,,,,,,,NKL,,,,,,,,,,,,RUTG
82,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 082",82,4,4,12,10,22,TY,EMPTY GUN,,,BUC BASE,,NKL NOSE 2,P,0,4,,,I,,,,,,,,,,,,NKL,,,,,,,,,,,,RUTG
