RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent,Play.Comments1
48,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 048",48,1,10,11,2,-38,TY,TREY,GUN FAR,,BOOT FLOOD HAWK,PFLOOD,NKL UNDER 10,P,0,3,,,I,,,,,Y-OFF,,,,,,,,UNDER,,,10,MF,,,,,,,NW,
49,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 049",49,2,10,11,3,-38,TY,TRIPS,GUN FAR,,CROSSERS,DBP,NKL OVER PIRATE 2,P,,3,,,,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,,,,HO,,,NW,
50,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 050",50,2,20,11,4,-28,TY,TRIPLES,GUN NEAR,,BINGO BUC BASE,DBP,NKL OVER STAB 2,P,0,3,,,I,,,,,,,,,,,,,OVER,STAB,,2,Z2,,,,,,,NW,
51,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 051",51,3,20,11,5,-28,TY,TRIPS,GUN FAR,,SEAMS,PFLOP,NKL GREEN 2,R,8,3,,,,,,,,Y-OFF,,,FALCON,,,,,GREEN,,,2 BLUFF,Z2,,,,,,,NW,
52,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 052",52,1,10,12,1,49,TY,TRIPS,GUN FAR,,OVER ROUTE,PFLOP,OVER SPEAR,P,0,3,,,I,,,,,WCL,,,,,,,,,,SPEAR,,ZP,,,,,,,NW,
53,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 053",53,2,10,12,2,49,TY,TREY,GUN FAR,OPTION BOUNCE STR,,FLOOD,NKL UNDER 10,R,35,3,,,,,,,,,,WIPE,,,,,,UNDER,,,10,MF,,,,,,,NW,
54,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 054",54,1,10,12,3,14,TY,TRIPS,GUN NEAR,OPTION BOUNCE WK,,FLOW,OVER SPEAR,R,0,3,,,,,,,,,,WIPE T,,,,,,,,SPEAR,,ZP,,,,,,,NW,
55,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 055",55,2,10,12,4,14,TY,TRIPS,GUN NEAR,BOUNCE STR,,FLOW,OVER SPEAR,R,5,3,,,,,,,,,,TUG C T,,,,,,,,SPEAR,,ZP,,,,,,,NW,
56,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 056",56,3,5,12,5,9,TY,TRIPLES BUNCH,GUN NEAR,,OPTION SPLIT ARC,SPLIT,NKL UNDER T-10,P,9,3,,,C,,,,,WIDE BUNCH,,,,,,,,UNDER,,,10,MF,,,,,,,NW,
57,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 057",57,1,10,13,1,-17,TY,TRIPLES BUNCH,GUN NEAR,BELLY WK,,SPLIT,NKL OVER 2,R,7,4,,,,,,,,WIDE BUNCH,,T FOLD,,,,,,OVER,,,2,Z2,NKL OVER NOTE 1,,,,,,NW,
