RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
68,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 068",68,2,1,10,5,21,TY,TRIPS GUN FAR,,BEAR PASS,,,NKL DART,R,13,4,,,C,,,,,,,,,,,,NKL,,,,,,,,,,,,PUR
69,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 069",69,1,8,10,6,8,TY,TREY GUN,FAR,COUNTER O STR,,,NKL OVER T-1,R,8,4,,,,,,,,Y-OFF,,,,,,,NKL,OVER,,,1-T,,,,,,,,PUR
70,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 070",70,1,10,11,1,-31,TY,TRIPS,GUN NEAR,OPTION BOUNCE,,FLOW,NKL UNDER 10,R,5,4,,,,,,,,Y-OFF,,,1,,,,NKL,UNDER,,,10,MF,,,,,,,PUR
71,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 071",71,2,5,11,2,-36,TY,TRIPS GUN FAR Y-OFF,,,,,NKL UNDER 10,P,7,4,,,,,,,,,,,,,,,NKL,UNDER,,,10,,,,,,,,PUR
72,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 072",72,1,10,11,3,-43,TY,TREY GUN,FAR,COUNTER O STR,,,NKL WHACK,R,3,4,,,,,,,,Y-OFF,,,,,,,NKL,,,WHACK,,,,,,,,,PUR
73,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 073",73,2,7,11,4,-46,TY,TRIPS GUN FAR Y-OFF,,CRACK TOSS,,,NKL OVER PIRATE BLUFF 2,R,-2,4,,,,,,,,,,,,,,,NKL,OVER,,,2 BLUFF,,,,,,,,PUR
74,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 074",74,3,9,11,5,-44,TY,TRIPLES GUN NEAR,,STEELER,STEELER,,NKL GREEN 2,P,0,4,,,I,,,,,,,,,,,,NKL,GREEN,,,,,,,,,,,PUR
75,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 075",75,1,10,12,1,-27,TY,TITE STACK GUN FAR,,SEAMS CD,,,NKL OVER PIRATE BLUFF 2,P,8,4,,,C,,,,,,,,,,,,NKL,OVER,,,2 BLUFF,,,,,,,,PUR
76,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 076",76,2,2,12,2,-35,TY,EMPTY MAX,,,,,NKL OVER 2,P,0,4,,,I,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
77,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 077",77,3,2,12,3,-35,TY,TREY SPREAD GUN FAR,,SLANTS,,,NKL STUD PRESS 1,P,15,4,,,,,,,,,,,,,,,NKL,OVER,STUD,,1 PRESS,,,,,,,,PUR
78,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 078",78,1,10,12,4,50,TY,TITE STACK GUN FAR,,OPTION RT,,,NKL UNDER 10,P,,4,,,,,,,,,,,,,,,NKL,UNDER,,,10,,,,,,,,PUR
79,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 079",79,1,10,13,1,25,TY,TRIPS,GUN FAR,OPTION FLOP,,FLOP,NKL UNDER 10,R,6,5,,H,,,,,,Y-OFF,,,3,,,,NKL,UNDER,,,10,MF,,,,,,,PUR
80,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 080",80,2,4,13,2,19,TY,TRIPS,GUN FAR,OPTION FLOP,,FLOP,NKL UNDER 10,R,8,5,,H,,,,,,Y-OFF,,,3,,,,NKL,UNDER,,,10,MF,,,,,,,PUR
81,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 081",81,1,10,13,3,11,DC,DOUBLE,GUN FAR,OPTION FLOOD,,FLOOD,UNDER 10,R,1,5,,,,,,,,U-OFF,,,3,,,,BASE,UNDER,,,10,MF,,,,,,,PUR
82,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 082",82,2,9,13,4,10,DC,DEUCE DOT,,QB RUN,,,UNDER 10,R,-1,5,,,,,,,,,,,,,,,BASE,UNDER,,,,,,,,,,,PUR
