RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
14,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 014",14,3,9,4,5,-38,RG,DEUCE,GUN FAR,,FALCON,DBP,NKL GREEN 2,P,0,1,,,I,,,,,,,,FALCON,,,,,GREEN,,,2,Z2,,,,,,,MINN
15,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 015",15,1,10,5,1,20,RGPY,PRO,I FAR,POWER O WK,,FLOOD,OVER 1,R,20,1,,,,,,,Z-JET,,,,,,,,,OVER,,,1,MF,,,,,,,MINN
16,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 016",16,1,10,6,1,-7,RG,DEUCE,DOT,BELLY STR,,FLOOD,UNDER 10,R,2,2,,,,,,,,,,,,,,,,UNDER,,,10,MF,,,,,,,MINN
17,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 017",17,2,8,6,2,-9,TY,TRIPLES,DOT,BELLY STR,,SPLIT,NKL WHACK,R,2,2,,,,,,,,,,,,,,,,,,WHACK,,ZP,NKL PIRATE SKY 2,,,,,,MINN
18,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 018",18,3,6,6,3,-11,TY,TRIPS YLW,DOT,STEELER DRAW,,FLOP,NKL GREEN 2,R,12,2,,,,,,,,,,,,,,,,GREEN,,,,Z2,,,,,,,MINN
19,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 019",19,1,10,6,4,-23,RG,PRO,PIST I FR,OPTION FLOOD ARC,,FLOOD,OVER SPEAR,R,3,2,,H,,,,,Z-JET,,,,,,,,,,,SPEAR,,ZP,,,,,,,MINN
20,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 020",20,2,7,6,5,-26,TY,TRIPLES,PIST DOT,BOUNCE STR,,SPLIT,NKL UNDER 10,R,3,2,,,,,,TREY,W-PEEL,,,U WIPE,,,,,,UNDER,,,10,MF,,,,,,,MINN
21,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 021",21,3,4,6,6,-29,TY,TREY,GUN NEAR,,BUC BASE,DBP,NKL OVER PRESS 1,P,11,2,,,C,,,TREY,W-PEEL,,,,,,,,,OVER,,,1 PRESS,MF,,,,,,,MINN
22,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 022",22,1,10,6,7,-40,TY,TRIPS BUNCH,PIST DOT,,BINGO CROSSERS,PFLOW,NKL OVER 1,P,20,2,,,C,,,TITE STACK,ZOOM,,,,STAR RT,,,,,OVER,,,1,MF,,,,,,,MINN
23,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 023",23,1,10,6,8,40,RGPY,PRO,I FAR,POWER O WK,,FLOOD,OVER 1,R,3,2,,,,,,,H-JET,,,,,,,,,OVER,,,1,MF,,,,,,,MINN
